"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Text Description","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Text Description","Region 6 Latitude","Region 6 Longitude"
"Australia","Western Australia",,"-25,878994","121,728516","Great Southern","-34,624168","117,658081","Frankland River","-34,279914","117,042847",,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Great Southern","-34,624168","117,658081","Mount Barker","-34,658628","117,547531",,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Great Southern","-34,624168","117,658081","Porongurup","-34,649026","117,890167",,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Manjimup","-34,270836","116,400146",,,,,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Margaret River","-33,945674","115,073676","Karridale","-34,179998","115,098267",,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Margaret River","-33,945674","115,073676","Wallcliffe","-33,96022","115,038105",,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Margaret River","-33,945674","115,073676","Wilyabrup","-33,763379","115,031919",,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Margaret River","-33,945674","115,073676","Yallingup","-33,646358","115,033974",,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Peel","-32,655563","116,111755",,,,,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Pemberton","-34,461277","116,026611",,,,,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Perth Hills","-31,899421","116,139221",,,,,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","Swan District","-31,661107","115,769205","Swan Valley","-31,867062","116,005111",,,,,,,,,,,
"Australia","Western Australia",,"-25,878994","121,728516","West Australian South East Coast","-33,431441","120,322266",,,,,,,,,,,,,,
