"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Latitude","Region 6 Longitude"
,,,,,"Curtefranca","45,631025","9,989232",,,,,,,,,,,,
,,,,,"Garda Colli Mantovani","45,396521","10,691071",,,,,,,,,,,,
,,,,,"Garda Lombardy","45,498647","10,522156",,,,,,,,,,,,
,,,,,"Lambrusco Mantovano","44,98617","11,038513",,,,,,,,,,,,
,,,,,,,,"Lambrusco Mantovano Oltre Po Mantovano","44,98617","11,038513",,,,,,,,,
,,,,,,,,"Lambrusco Mantovano Viadanese-Sabbionetano","44,938557","10,520782",,,,,,,,,
,,,,,"Lombardy DOCG","45,521744","9,18457",,,,,,,,,,,,
,,,,,,,,"Franciacorta","45,61836","10,003738",,,,,,,,,
,,,,,,,,"Moscato di Scanzo","45,710597","9,733897",,,,,,,,,
,,,,,,,,"Oltrepo Pavese Metodo Classico","44,994911","9,212036",,,,,,,,,
,,,,,,,,"Sforzato di Valtellina","46,17983","9,871216",,,,,,,,,
,,,,,,,,"Valtellina Superiore","46,17983","9,871216",,,,,,,,,
,,,,,,,,,,,"Valtellina Superiore Grumello","46,19124","9,931641",,,,,,
,,,,,,,,,,,"Valtellina Superiore Inferno","46,181732","9,944687",,,,,,
,,,,,,,,,,,"Valtellina Superiore Maroggia","46,185535","9,688911",,,,,,
,,,,,,,,,,,"Valtellina Superiore Sassella","46,183158","9,802551",,,,,,
,,,,,,,,,,,"Valtellina Superiore Valgella","46,159732","10,05282",,,,,,
,,,,,"Lugana - Lombardy","45,504422","10,513916",,,,,,,,,,,,
,,,,,"Oltrepo Pavese","44,991998","9,216156",,,,,,,,,,,,
,,,,,,,,"Bonarda dell'Oltrepo Pavese","44,991998","9,216156",,,,,,,,,
,,,,,,,,"Buttafuoco dell'Oltrepo Pavese","45,062852","9,262848",,,,,,,,,
,,,,,,,,"Oltrepo Pavese Pinot Grigio","44,991998","9,216156",,,,,,,,,
,,,,,,,,"Pinot Nero dell'Oltrepo Pavese","44,991998","9,216156",,,,,,,,,
,,,,,,,,"Sangue di Giuda dell'Oltrepo Pavese","45,039567","9,239502",,,,,,,,,
,,,,,"Riviera del Garda Bresciano","45,619801","10,524902",,,,,,,,,,,,
,,,,,"San Colombano al Lambro","45,182107","9,493617",,,,,,,,,,,,
,,,,,"San Martino della Battaglia","45,479392","10,535889",,,,,,,,,,,,
,,,,,"Valcalepio","45,660127","9,890442",,,,,,,,,,,,
,,,,,"Valtellina","46,17983","9,871216",,,,,,,,,,,,
,"Marches [Marche]",,"43,505874","12,989615",,,,,,,,,,,,,,,
,,,,,"Bianchello di Metauro","43,692204","12,810059",,,,,,,,,,,,
,,,,,"Colli Maceratesi","43,317185","13,447266",,,,,,,,,,,,
,,,,,"Colli Pesaresi","43,921637","12,919922",,,,,,,,,,,,
,,,,,,,,"Colli Pesaresi Focara","43,949358","12,82392",,,,,,,,,
,,,,,,,,"Colli Pesaresi Roncaglia","43,924419","12,842846",,,,,,,,,
,,,,,"Esino","43,524655","13,238525",,,,,,,,,,,,
,,,,,"Falerio dei Colli Ascolani","42,875964","13,568115",,,,,,,,,,,,
