"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Latitude","Region 6 Longitude"
,,,,,,,,,,,,,,"Aloxe-Corton Clos du Chapitre","47,064612","4,859455",,,
,,,,,,,,,,,,,,"Aloxe-Corton La Coutiere","47,075324","4,876599",,,
,,,,,,,,,,,,,,"Aloxe-Corton La Marechaude","47,073279","4,875011",,,
,,,,,,,,,,,,,,"Aloxe-Corton La Toppe au Vert","47,074126","4,875891",,,
,,,,,,,,,,,,,,"Aloxe-Corton Les Chaillots","47,068485","4,864197",,,
,,,,,,,,,,,,,,"Aloxe-Corton Les Fournieres","47,066176","4,863338",,,
,,,,,,,,,,,,,,"Aloxe-Corton Les Guerets","47,065679","4,853339",,,
,,,,,,,,,,,,,,"Aloxe-Corton Les Marechaudes","47,071854","4,87249",,,
,,,,,,,,,,,,,,"Aloxe-Corton Les Moutottes","47,07889","4,87529",,,
,,,,,,,,,,,,,,"Aloxe-Corton Les Paulands","47,071086","4,87072",,,
,,,,,,,,,,,,,,"Aloxe-Corton Les Petites Lolieres","47,077487","4,876342",,,
,,,,,,,,,,,,,,"Aloxe-Corton Les Valozieres","47,069596","4,866686",,,
,,,,,,,,,,,,,,"Aloxe-Corton Les Vercots","47,064159","4,854326",,,
,,,,,,,,"Auxey-Duresses","46,989152","4,747124",,,,,,,,,
,,,,,,,,,,,"Auxey-Duresses Premier Cru","46,987396","4,746952",,,,,,
,,,,,,,,,,,,,,"Auxey-Duresses Bas Des Duresses","46,989299","4,757938",,,
,,,,,,,,,,,,,,"Auxey-Duresses Climat du Val","46,989767","4,749484",,,
